log,Backbone_pretty,Mode,NA Acc.,RT MSE,NT MSE,Runtime (h),backbone,Setting,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,runtime_h_mean,runtime_h_std
BPI17,GPT2,ZS,0.0113 ± 0.0121,4.8703 ± 3.2095,1.4778 ± 0.3699,0.00462 ± 0.00048,gpt2,ZeroShot,0.011323173337131464,0.012134624728540147,4.870300387414466,3.209473910985185,1.4778143041636347,0.3699051222191683,0.004618041191277778,0.0004751591178596557
BPI17,Gemma-2-2B,FS,0.1771 ± 0.0331,1.9549 ± 1.6702,1.9580 ± 1.0160,0.58366 ± 0.07767,gemma-2-2b,FewShot-LoRA,0.17707150656872922,0.03309640775657534,1.9549228665470384,1.6702109838180466,1.9579989153585244,1.0159849715361537,0.5836580400923335,0.07767329473453727
BPI17,Gemma-2-2B,LoRA,0.8125 ± 0.0384,1.2953 ± 0.1334,0.9371 ± 0.0575,3.87557 ± 0.32473,gemma-2-2b,LoRA,0.8124680380626828,0.038368763796949576,1.2952726560949397,0.1334438717180218,0.937095635593208,0.05754398073710961,3.875569343814777,0.3247317687886398
BPI17,Gemma-2-2B,ZS,0.0165 ± 0.0125,3.6358 ± 3.0951,2.9560 ± 1.1385,0.03992 ± 0.00336,gemma-2-2b,ZeroShot,0.016456752192402384,0.012472983818732679,3.635787930015342,3.095141419489655,2.955976286512768,1.1385484254085592,0.03992367200877778,0.003356886261389464
BPI17,Llama3.2-1B,FS,0.0874 ± 0.0543,1.1662 ± 0.2421,1.5502 ± 0.3092,0.26471 ± 0.00108,llama32-1b,FewShot-LoRA,0.0874356522269925,0.05427143349283894,1.166179748543332,0.24214355314398622,1.5502247829166755,0.3091875613437125,0.2647064389188889,0.001079121115497669
BPI17,Llama3.2-1B,LoRA,0.7992 ± 0.0433,0.6557 ± 0.0283,0.7265 ± 0.0224,1.87931 ± 0.02208,llama32-1b,LoRA,0.7992471564897146,0.04330469706736657,0.6557092607312803,0.028346669190832008,0.7264963763065185,0.02242902055199813,1.8793107966083336,0.022079193868444983
BPI17,Llama3.2-1B,ZS,0.0441 ± 0.0529,6.0560 ± 7.1435,3.9269 ± 3.0343,0.01869 ± 0.00011,llama32-1b,ZeroShot,0.04405287538744311,0.05293027351175019,6.056049994357184,7.143499857674707,3.9268516433052136,3.034278438054575,0.018690369797166664,0.00011061954176922373
BPI17,Qwen2.5-0.5B,FS,0.0796 ± 0.0542,1.0036 ± 0.1872,1.5999 ± 0.7066,0.15257 ± 0.00034,qwen25-05b,FewShot-LoRA,0.07957284608758758,0.05418123367357929,1.0036478839158396,0.1871814627529238,1.5998526143131544,0.706552079895083,0.15256873929550002,0.00034060586821881293
BPI17,Qwen2.5-0.5B,LoRA,0.8541 ± 0.0040,0.6290 ± 0.0283,0.6964 ± 0.0370,1.16616 ± 0.00620,qwen25-05b,LoRA,0.8541152054041955,0.004042582151134518,0.6289666391290755,0.02831755204793409,0.6963743177355688,0.036978601427696094,1.1661638164430834,0.00620307412096928
BPI17,Qwen2.5-0.5B,ZS,0.0442 ± 0.0286,3.0504 ± 1.2041,2.7926 ± 1.0481,0.00897 ± 0.00002,qwen25-05b,ZeroShot,0.04416953221966753,0.0285832082075185,3.05038393092957,1.2040916674118696,2.7925938759913724,1.0481235164650113,0.008972455834,2.218072885487587e-05
