dataset,task,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,tabular_minus_sequence_mae,llm_minus_sequence_mae,tabular_relative_to_sequence_mae,llm_relative_to_sequence_mae,group_value_label
BPI12,RT,case_length_bucket,1-3,0.149684828135275,0.0903688774954888,0.1924378439303367,0.0725863691299192,0.0287461761505373,0.0760055924615552,0.134221718195946,0.0506662726402282,0.1200268528153819,-0.0835554455557177,-0.014194865380564,0.3774819255872004,0.894243155494095,
BPI12,RT,case_length_bucket,11-20,0.6805171818766547,0.7559279060775512,0.7116292802456883,0.6203678558629594,0.6498636303861675,0.89262844332935,0.8021288617875191,0.6351157431245634,0.718222543977103,-0.1670131186629556,-0.0839063178104161,0.7917876707605657,0.8953954634877075,
BPI12,RT,case_length_bucket,21-50,1.3405956140701023,1.4567599656401835,1.09752308079274,1.2670930211931013,1.3192260354817218,1.6486379990807558,1.3730805399367478,1.2931595283374115,1.3986777898551428,-0.0799210115993362,0.0255972499183949,0.9417943745652256,1.0186422057365798,
BPI12,RT,case_length_bucket,51-100,1.108997103241932,1.1579519017407196,0.8933328640708122,1.007489807870371,1.0473513064962598,1.3679788865604758,1.130655875315644,1.0274205571833153,1.133474502491326,-0.1032353181323286,0.002818627175682,0.9086943070954204,1.002492913394091,
BPI12,RT,case_length_bucket,6-10,0.1058515299350843,0.090935315560857,0.2541956077543421,0.0371417184488489,0.035691568610865,0.1399259627412218,0.1970607852477819,0.0364166435298569,0.0983934227479707,-0.160644141717925,-0.0986673624998112,0.1847990379418568,0.4993049359072225,
BPI12,RT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",1.2840318565569746,1.356576336997646,1.050108228769188,1.1965276198686785,1.2089712012416631,1.604295875651427,1.3272020522103074,1.2027494105551706,1.3203040967773103,-0.1244526416551368,-0.006897955432997,0.9062293179490832,0.9948026335390988,
BPI12,RT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",1.1608218276801738,1.257937054523688,1.0114812388237473,1.091993129706876,1.1242038567552413,1.4920132533479018,1.2517472460858243,1.1080984932310587,1.209379441101931,-0.1436487528547658,-0.0423678049838935,0.8852414069182488,0.9661530671496372,
BPI12,RT,nt_magnitude_bucket,"nt_mag_(-0.23527, -0.23498]",1.1296668481289869,1.2142552927077366,0.937218312237009,1.0357007563395886,1.090193536218736,1.3593701717831976,1.1482942420101034,1.0629471462791624,1.1719610704183618,-0.085347095730941,0.0236668284082584,0.9256748901034808,1.020610421564798,
BPI12,RT,nt_magnitude_bucket,"nt_mag_(-0.23529, -0.23527]",0.9801868882184316,1.067099353520989,0.8122005302373096,0.9153345378546812,0.981666331825134,1.159266460486982,0.9857334953621458,0.9485004348399076,1.02364312086971,-0.0372330605222381,0.0379096255075642,0.9622280660062594,1.0384582908929525,
BPI12,RT,prefix_length_bucket,1,1.2987312404745883,1.477592964625948,1.2930984007870103,1.283206186983939,1.3041718342228903,1.4345161736748375,1.363807287230924,1.293689010603415,1.3881621025502682,-0.0701182766275092,0.0243548153193442,0.9485863748610132,1.0178579595133226,
BPI12,RT,prefix_length_bucket,11-20,1.4389888552017944,1.5956929780105424,1.2026679456308258,1.4014205362349348,1.469175628965691,1.7638267365646108,1.4832473410977185,1.4352980826003128,1.5173409166061684,-0.0479492584974055,0.0340935755084501,0.9676727831098492,1.0229857654645909,
BPI12,RT,prefix_length_bucket,2,1.0145130959382758,1.0256382294194124,1.0426988052095958,0.9603814543008284,0.9847813679750056,1.12892380821367,1.0858113067116328,0.972581411137917,1.020075662678844,-0.1132298955737158,-0.0657356440327887,0.8957186254427287,0.9394594220685836,
BPI12,RT,prefix_length_bucket,21-50,0.7977012530036951,0.8552860265698699,0.6435261761215814,0.7119306291066702,0.7326379912094472,1.1395355889852086,0.891530882553395,0.7222843101580587,0.8264936397867825,-0.1692465723953362,-0.0650372427666124,0.8101618511401372,0.9270499272214304,
BPI12,RT,prefix_length_bucket,3,1.193741613640607,1.3088347537605238,1.0320192156411876,1.12187727925556,1.1834279842062572,1.3037074758236955,1.1678633457324414,1.1526526317309087,1.2512881837005654,-0.0152107140015327,0.0834248379681239,0.9869756045884006,1.0714337326134702,
BPI12,RT,prefix_length_bucket,4-5,1.4677294009380926,1.5867028296056946,1.1798159336543963,1.3776218955862825,1.3920765977226577,1.6479037408164496,1.4138598372354232,1.3848492466544702,1.5272161152718935,-0.029010590580953,0.1133562780364703,0.979481282502742,1.080175046387993,
BPI12,RT,prefix_length_bucket,6-10,1.4881068716269088,1.555750325903036,1.2249291637775714,1.3631602467948398,1.4416543614340205,1.660489950744664,1.4427095572611175,1.40240730411443,1.5219285987649722,-0.0403022531466876,0.0792190415038545,0.972064887943767,1.0549099027625812,
BPI12,RT,prefix_length_bucket,>50,0.3714955941166566,0.2534950815789077,0.2165909603562044,0.2023847294566424,0.1955296262126901,0.5341113929839237,0.375351176670064,0.1989571778346663,0.3124953378477822,-0.1763939988353977,-0.0628558388222818,0.5300560920035449,0.8325412500903587,
BPI12,RT,relative_prefix_bucket,0-20%,1.912205146036879,2.076041786536839,1.628474078817839,1.833177108353488,1.8987801156655304,2.123634293700042,1.8760541862589408,1.865978612009509,1.994123466286859,-0.0100755742494316,0.1180692800279183,0.9946293799383676,1.062934898625376,
BPI12,RT,relative_prefix_bucket,20-40%,1.621056278101929,1.7438970863499843,1.3345892671494235,1.5468498973428308,1.631586962017014,1.8513857926706565,1.5929875299100398,1.5892184296799226,1.682476682225957,-0.0037691002301172,0.0894891523159171,0.997633942413642,1.0561769321075418,
