dataset,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,sequence_minus_tabular_acc,sequence_minus_llm_acc,transformer_minus_llm_mean_acc,rnn_minus_llm_mean_acc,group_value_label
BPI20RequestForPayment,activity_current,4,0.5269121813031161,0.3994334277620396,0.6317280453257791,0.6317280453257791,0.6345609065155807,0.6345609065155807,0.6331444759206799,0.6331444759206799,0.4631728045325779,0.0,0.1699716713881019,0.1713881019830028,0.1685552407932011,Request For Payment APPROVED by ADMINISTRATION
BPI20RequestForPayment,activity_frequency_bucket,"act_freq_(1196.0, 1219.0]",0.5269121813031161,0.3994334277620396,0.6317280453257791,0.6317280453257791,0.6345609065155807,0.6345609065155807,0.6331444759206799,0.6331444759206799,0.4631728045325779,0.0,0.1699716713881019,0.1713881019830028,0.1685552407932011,
BPI12,case_length_bucket,21-50,0.5803571428571429,0.5957792207792207,0.7613636363636364,0.6607142857142857,0.6607142857142857,0.7491883116883117,0.755275974025974,0.6607142857142857,0.5880681818181819,0.0945616883116883,0.1672077922077921,0.1611201298701298,0.1732954545454544,
BPI12,branching_entropy_bucket,"branch_ent_(1.29, 1.535]",0.6335877862595419,0.7309160305343512,0.8473282442748091,0.6984732824427481,0.7041984732824428,0.8492366412213741,0.8482824427480916,0.7013358778625954,0.6822519083969465,0.1469465648854961,0.1660305343511451,0.1669847328244276,0.1650763358778626,
BPI12,true_next_activity_frequency_bucket,"next_freq_(1.999, 1611.0]",0.2355212355212355,0.3185328185328185,0.4073359073359073,0.3359073359073359,0.3301158301158301,0.4768339768339768,0.4420849420849421,0.333011583011583,0.277027027027027,0.109073359073359,0.165057915057915,0.1998069498069498,0.1303088803088803,
BPI20PrepaidTravelCosts,relative_prefix_bucket,60-80%,0.7780373831775701,0.7126168224299065,0.9299065420560748,0.7897196261682243,0.7850467289719626,0.8855140186915887,0.9077102803738316,0.7873831775700935,0.7453271028037383,0.1203271028037382,0.1623831775700934,0.1401869158878504,0.1845794392523365,
BPI12,relative_prefix_bucket,20-40%,0.5594059405940595,0.6806930693069307,0.745049504950495,0.6361386138613861,0.655940594059406,0.8193069306930693,0.7821782178217822,0.6460396039603961,0.620049504950495,0.1361386138613861,0.1621287128712871,0.1992574257425742,0.125,
BPI20TravelPermitData,relative_prefix_bucket,60-80%,0.6505102040816326,0.701530612244898,0.8239795918367347,0.6760204081632653,0.5688775510204082,0.8418367346938775,0.8329081632653061,0.6224489795918366,0.6760204081632653,0.2104591836734695,0.1568877551020409,0.1658163265306123,0.1479591836734695,
BPI20PrepaidTravelCosts,relative_prefix_bucket,20-40%,0.7009569377990431,0.4473684210526316,0.7320574162679426,0.7631578947368421,0.715311004784689,0.7248803827751196,0.7284688995215312,0.7392344497607656,0.5741626794258373,-0.0107655502392344,0.1543062200956938,0.1507177033492822,0.1578947368421053,
BPI20PrepaidTravelCosts,prefix_length_bucket,6-10,0.783816425120773,0.7367149758454107,0.9263285024154588,0.8128019323671497,0.8031400966183575,0.8997584541062802,0.9130434782608696,0.8079710144927537,0.7602657004830918,0.1050724637681159,0.1527777777777778,0.1394927536231883,0.1660628019323671,
BPI20RequestForPayment,branching_entropy_bucket,"branch_ent_(0.575, 1.083]",0.5196078431372549,0.4142156862745098,0.6176470588235294,0.6102941176470589,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6139705882352942,0.4669117647058823,0.0036764705882352,0.150735294117647,0.150735294117647,0.150735294117647,
BPI20PrepaidTravelCosts,case_length_bucket,6-10,0.6657039711191336,0.683754512635379,0.8245487364620938,0.7725631768953068,0.6606498194945848,0.8252707581227436,0.8249097472924187,0.7166064981949458,0.6747292418772564,0.1083032490974729,0.1501805054151623,0.1505415162454872,0.1498194945848374,
BPI17,activity_current,6,0.9074074074074074,0.6296296296296297,0.9074074074074074,0.6296296296296297,0.7037037037037037,0.925925925925926,0.9166666666666669,0.6666666666666667,0.7685185185185186,0.25,0.1481481481481481,0.1574074074074073,0.1388888888888888,A_Concept
BPI12,branching_degree_bucket,"branch_deg_(5.0, 9.0]",0.6565217391304348,0.7159420289855073,0.8130434782608695,0.644927536231884,0.6681159420289855,0.8492753623188406,0.8311594202898551,0.6565217391304348,0.6862318840579711,0.1746376811594203,0.144927536231884,0.1630434782608695,0.1268115942028984,
BPI12,prefix_length_bucket,11-20,0.5690298507462687,0.7201492537313433,0.8115671641791045,0.6305970149253731,0.628731343283582,0.7649253731343284,0.7882462686567164,0.6296641791044776,0.644589552238806,0.1585820895522388,0.1436567164179104,0.1203358208955224,0.1669776119402984,
BPI20TravelPermitData,branching_entropy_bucket,"branch_ent_(0.603, 1.167]",0.6035714285714285,0.7732142857142857,0.825,0.7732142857142857,0.5517857142857143,0.8285714285714286,0.8267857142857142,0.6625000000000001,0.6883928571428571,0.1642857142857141,0.1383928571428571,0.1401785714285714,0.1366071428571428,
BPI12,activity_frequency_bucket,"act_freq_(10853.0, 12647.0]",0.6823027718550106,0.7718550106609808,0.8656716417910447,0.7398720682302772,0.7505330490405118,0.8635394456289979,0.8646055437100213,0.7452025586353945,0.7270788912579957,0.1194029850746267,0.1375266524520255,0.1364605543710021,0.1385927505330489,
BPI12,activity_current,22,0.6823027718550106,0.7718550106609808,0.8656716417910447,0.7398720682302772,0.7505330490405118,0.8635394456289979,0.8646055437100213,0.7452025586353945,0.7270788912579957,0.1194029850746267,0.1375266524520255,0.1364605543710021,0.1385927505330489,W_Completeren aanvraag
BPI20RequestForPayment,y_true_na,17,0.303030303030303,0.0909090909090909,0.3333333333333333,0.2727272727272727,0.8484848484848485,0.3333333333333333,0.3333333333333333,0.5606060606060606,0.1969696969696969,-0.2272727272727272,0.1363636363636363,0.1363636363636363,0.1363636363636363,Request For Payment SUBMITTED by EMPLOYEE
