dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,4-5,445,0.8157303370786517,0.18426966292134828,356
BPI20PrepaidTravelCosts,transformer,sequence,prefix_length_bucket,6-10,828,0.8997584541062802,0.10024154589371981,451
BPI20RequestForPayment,gemma-2-2b,llm,prefix_length_bucket,1,367,0.8828337874659401,0.1171662125340599,367
BPI20RequestForPayment,gemma-2-2b,llm,prefix_length_bucket,2,372,0.5913978494623656,0.4086021505376344,372
BPI20RequestForPayment,gemma-2-2b,llm,prefix_length_bucket,3,371,0.9164420485175202,0.0835579514824798,371
BPI20RequestForPayment,gemma-2-2b,llm,prefix_length_bucket,4-5,664,0.9698795180722891,0.030120481927710885,583
BPI20RequestForPayment,gemma-2-2b,llm,prefix_length_bucket,6-10,222,0.972972972972973,0.027027027027026973,188
BPI20RequestForPayment,llama32-1b,llm,prefix_length_bucket,1,367,0.8828337874659401,0.1171662125340599,367
BPI20RequestForPayment,llama32-1b,llm,prefix_length_bucket,2,372,0.47580645161290325,0.5241935483870968,372
BPI20RequestForPayment,llama32-1b,llm,prefix_length_bucket,3,371,0.921832884097035,0.07816711590296499,371
BPI20RequestForPayment,llama32-1b,llm,prefix_length_bucket,4-5,664,0.9653614457831325,0.034638554216867457,583
BPI20RequestForPayment,llama32-1b,llm,prefix_length_bucket,6-10,222,0.9774774774774775,0.022522522522522515,188
BPI20RequestForPayment,rnn,sequence,prefix_length_bucket,1,367,0.8801089918256131,0.11989100817438691,367
BPI20RequestForPayment,rnn,sequence,prefix_length_bucket,2,372,0.6559139784946236,0.34408602150537637,372
BPI20RequestForPayment,rnn,sequence,prefix_length_bucket,3,371,0.9272237196765498,0.07277628032345018,371
BPI20RequestForPayment,rnn,sequence,prefix_length_bucket,4-5,664,0.9894578313253012,0.010542168674698815,583
BPI20RequestForPayment,rnn,sequence,prefix_length_bucket,6-10,222,0.9684684684684685,0.03153153153153154,188
BPI20RequestForPayment,saprpt,tabular_fm,prefix_length_bucket,1,367,0.07629427792915532,0.9237057220708447,367
BPI20RequestForPayment,saprpt,tabular_fm,prefix_length_bucket,2,372,0.6532258064516129,0.3467741935483871,372
BPI20RequestForPayment,saprpt,tabular_fm,prefix_length_bucket,3,371,0.9272237196765498,0.07277628032345018,371
BPI20RequestForPayment,saprpt,tabular_fm,prefix_length_bucket,4-5,664,0.9849397590361446,0.015060240963855387,583
BPI20RequestForPayment,saprpt,tabular_fm,prefix_length_bucket,6-10,222,0.9684684684684685,0.03153153153153154,188
BPI20RequestForPayment,tabpfn3,tabular_fm,prefix_length_bucket,1,367,0.051771117166212535,0.9482288828337875,367
BPI20RequestForPayment,tabpfn3,tabular_fm,prefix_length_bucket,2,372,0.6559139784946236,0.34408602150537637,372
BPI20RequestForPayment,tabpfn3,tabular_fm,prefix_length_bucket,3,371,0.9326145552560647,0.06738544474393526,371
BPI20RequestForPayment,tabpfn3,tabular_fm,prefix_length_bucket,4-5,664,0.9487951807228916,0.051204819277108404,583
BPI20RequestForPayment,tabpfn3,tabular_fm,prefix_length_bucket,6-10,222,0.963963963963964,0.036036036036036,188
BPI20RequestForPayment,transformer,sequence,prefix_length_bucket,1,367,0.8828337874659401,0.1171662125340599,367
BPI20RequestForPayment,transformer,sequence,prefix_length_bucket,2,372,0.6559139784946236,0.34408602150537637,372
BPI20RequestForPayment,transformer,sequence,prefix_length_bucket,3,371,0.9299191374663073,0.07008086253369272,371
BPI20RequestForPayment,transformer,sequence,prefix_length_bucket,4-5,664,0.9894578313253012,0.010542168674698815,583
BPI20RequestForPayment,transformer,sequence,prefix_length_bucket,6-10,222,0.972972972972973,0.027027027027026973,188
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,1,151,0.271523178807947,0.7284768211920529,151
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,11-20,403,0.7816377171215881,0.21836228287841186,343
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,2,153,0.5294117647058824,0.47058823529411764,153
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,21-50,71,0.6197183098591549,0.3802816901408451,54
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,3,170,0.7705882352941177,0.22941176470588232,170
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,4-5,340,0.7,0.30000000000000004,329
BPI20TravelPermitData,gemma-2-2b,llm,prefix_length_bucket,6-10,706,0.6586402266288952,0.3413597733711048,637
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,1,151,0.9602649006622517,0.039735099337748325,151
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,11-20,403,0.7841191066997518,0.21588089330024818,343
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,2,153,0.477124183006536,0.522875816993464,153
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,21-50,71,0.6197183098591549,0.3802816901408451,54
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,3,170,0.7823529411764706,0.21764705882352942,170
