dataset,task,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,tabular_minus_sequence_mae,llm_minus_sequence_mae,tabular_relative_to_sequence_mae,llm_relative_to_sequence_mae,group_value_label
BPI12,RT,prefix_length_bucket,2,1.0145130959382758,1.0256382294194124,1.0426988052095958,0.9603814543008284,0.9847813679750056,1.12892380821367,1.0858113067116328,0.972581411137917,1.020075662678844,-0.1132298955737158,-0.0657356440327887,0.8957186254427287,0.9394594220685836,
BPI12,RT,activity_current,9,1.0145130959382758,1.0256382294194124,1.0426988052095958,0.9603814543008284,0.9847813679750056,1.12892380821367,1.0858113067116328,0.972581411137917,1.020075662678844,-0.1132298955737158,-0.0657356440327887,0.8957186254427287,0.9394594220685836,A_PARTLYSUBMITTED
BPI20PrepaidTravelCosts,RT,branching_degree_bucket,"branch_deg_(4.0, 5.0]",0.8136284006417259,0.3486610541558811,0.4123034121368911,0.2397041086817243,0.2366020090714082,0.2900735050479465,0.3511884585924188,0.2381530588765663,0.5811447273988035,-0.1130353997158525,0.2299562688063847,0.6781346398201576,1.654794493327204,
BPI12,RT,branching_degree_bucket,"branch_deg_(5.0, 9.0]",1.4240935351871682,1.4957758845164155,1.1992743021778196,1.3220712142979618,1.338260316052744,1.6868795190570012,1.4430769106174104,1.330165765175353,1.459934709851792,-0.1129111454420574,0.0168577992343816,0.9217566682611884,1.0116818439199953,
BPI12,NT,branching_degree_bucket,"branch_deg_(0.999, 5.0]",0.1317547420043706,0.1134684548486728,0.1461709598889511,0.0051152639946824,0.002664205429421,0.0850069630966597,0.1155889614928054,0.0038897347120517,0.1226115984265217,-0.1116992267807536,0.0070226369337163,0.0336514374886384,1.0607552558913975,
BPI12,NT,activity_current,25,0.174386803011753,0.1361213451066212,0.1409785757385935,0.0588423730859979,0.0484122055315831,0.1883623370824501,0.1646704564105218,0.0536272893087905,0.1552540740591871,-0.1110431671017312,-0.0094163823513346,0.325664302375517,0.9428168078440268,W_Valideren aanvraag
BPI20PrepaidTravelCosts,NT,rt_magnitude_bucket,"rt_mag_(0.567, 5.259]",0.7666073280763684,1.1189958215981572,0.8710073211056084,0.749426043749911,0.7716394904902476,0.8720292557792907,0.8715182884424495,0.7605327671200792,0.9428015748372628,-0.1109855213223702,0.0712832863948134,0.8726526766056508,1.0817920717673162,
BPI20PrepaidTravelCosts,RT,activity_current,18,0.7892393462959377,0.3601026073654835,0.425252522479063,0.2095097113272239,0.208995100969834,0.2096120911468377,0.3174323068129503,0.209252406148529,0.5746709768307107,-0.1081799006644213,0.2572386700177603,0.6592032432030704,1.8103733126613997,Request For Payment APPROVED by BUDGET OWNER
BPI17,RT,rt_magnitude_bucket,"rt_mag_(-1.0499999999999998, -0.81]",0.1908370570071692,0.2351483937425231,0.2124113257088273,0.085580760066949,0.0486058289564928,0.1368398928815878,0.1746256092952076,0.0670932945117209,0.2129927253748462,-0.1075323147834866,0.0383671160796386,0.3842122285643602,1.2197107070062003,
BPI12,NT,nt_magnitude_bucket,"nt_mag_(-0.23529, -0.23527]",0.1457491528868613,0.1313751951724699,0.1566736441855163,0.0149528674476651,0.0129878163670075,0.0848713091342644,0.1207724766598903,0.0139703419073363,0.1385621740296656,-0.1068021347525539,0.0177896973697752,0.1156748813446834,1.1472992676955127,
BPI12,NT,activity_current,17,0.1279407086937377,0.1270216619595885,0.1111752164239684,0.0025571544344226,0.0015970962122082,0.1039313646033406,0.1075532905136545,0.0020771253233154,0.1274811853266631,-0.1054761651903391,0.0199278948130085,0.0193125223170346,1.1852839157020365,O_SELECTED
BPI20PrepaidTravelCosts,RT,rt_magnitude_bucket,"rt_mag_(-0.562, -0.263]",0.6256395028835859,0.2757629540196306,0.4904829124511406,0.2249094304718457,0.2714397228927667,0.2162320306469617,0.3533574715490511,0.2481745766823062,0.4507012284516083,-0.1051828948667449,0.0973437569025571,0.7023328970358448,1.2754823790079233,
BPI12,RT,activity_current,22,1.7652118187497006,1.878238200251736,1.4527116493006218,1.6519295333036736,1.6775826440542254,2.0855666699567075,1.7691391596286643,1.6647560886789496,1.8217250095007185,-0.1043830709497148,0.0525858498720537,0.9409978178473962,1.0297239759720718,W_Completeren aanvraag
BPI12,RT,case_length_bucket,51-100,1.108997103241932,1.1579519017407196,0.8933328640708122,1.007489807870371,1.0473513064962598,1.3679788865604758,1.130655875315644,1.0274205571833153,1.133474502491326,-0.1032353181323286,0.002818627175682,0.9086943070954204,1.002492913394091,
BPI20TravelPermitData,NT,activity_current,36,0.3344744234345853,0.1944146631285548,0.202770163770765,0.1355191997252404,0.1321486531756818,0.270604623761028,0.2366873937658965,0.1338339264504611,0.2644445432815701,-0.1028534673154354,0.0277571495156735,0.5654459425195835,1.1172734596212912,Request For Payment APPROVED by ADMINISTRATION
