dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases,group_value_label
BPI12,saprpt,tabular_fm,RT,prefix_length_bucket,6-10,293,1.3631602467948398,3.0081009512919232,1.274007797241211,3.077611351013184,-1.349776870481282,269,
BPI12,saprpt,tabular_fm,RT,prefix_length_bucket,>50,115,0.2023847294566424,0.1360160439752498,0.0756446123123169,0.6059630155563356,-0.1416905729343061,72,
BPI12,tabpfn3,tabular_fm,RT,prefix_length_bucket,1,91,1.3041718342228903,3.2817975309227045,1.1015423834323883,3.274344563484192,-1.2871898853598716,91,
BPI12,tabpfn3,tabular_fm,RT,prefix_length_bucket,11-20,536,1.469175628965691,3.1586017431080817,1.363273948431015,2.970983058214188,-1.4599464793518837,461,
BPI12,tabpfn3,tabular_fm,RT,prefix_length_bucket,2,86,0.9847813679750056,2.3073399748001804,0.107260912656784,2.9001270830631256,-0.9537411569184516,86,
BPI12,tabpfn3,tabular_fm,RT,prefix_length_bucket,21-50,672,0.7326379912094472,1.2197923185975017,0.3797721117734909,2.0772953957319253,-0.7146781259558511,498,
BPI12,tabpfn3,tabular_fm,RT,prefix_length_bucket,3,89,1.1834279842062572,2.9624594162631075,0.8839871510863304,3.2381258845329284,-1.1725690265191364,89,
BPI12,tabpfn3,tabular_fm,RT,prefix_length_bucket,4-5,118,1.3920765977226577,3.2365997815760976,1.3433476388454435,3.232814675569534,-1.3747049745298543,116,
BPI12,tabpfn3,tabular_fm,RT,prefix_length_bucket,6-10,293,1.4416543614340205,3.24514020099959,1.3911208510398865,3.050285506248474,-1.4267655780702613,269,
BPI12,tabpfn3,tabular_fm,RT,prefix_length_bucket,>50,115,0.1955296262126901,0.1447448349238198,0.054828405380249,0.6294644981622698,-0.1598988797029723,72,
BPI12,transformer,sequence,RT,prefix_length_bucket,1,91,1.4345161736748375,3.8515502063208378,1.2355691492557526,3.4277732968330383,-1.4345161736748375,91,
BPI12,transformer,sequence,RT,prefix_length_bucket,11-20,536,1.7638267365646108,4.16514271419948,1.5993475168943403,3.3002282679080963,-1.7633464048617022,461,
BPI12,transformer,sequence,RT,prefix_length_bucket,2,86,1.12892380821367,2.8019895708756084,0.260816752910614,3.4546503722667694,-1.12892380821367,86,
BPI12,transformer,sequence,RT,prefix_length_bucket,21-50,672,1.1395355889852086,2.098317181486626,0.8375638425350189,2.685267758369445,-1.1395355889852086,498,
BPI12,transformer,sequence,RT,prefix_length_bucket,3,89,1.3037074758236955,3.412387269034436,0.9799076616764067,3.472258281707764,-1.3025303791889271,89,
BPI12,transformer,sequence,RT,prefix_length_bucket,4-5,118,1.6479037408164496,4.304701611994901,1.5152466148138046,3.501909852027893,-1.6479037408164496,116,
BPI12,transformer,sequence,RT,prefix_length_bucket,6-10,293,1.660489950744664,4.153775973242856,1.5951005220413208,3.4451276540756224,-1.6595469344710874,269,
BPI12,transformer,sequence,RT,prefix_length_bucket,>50,115,0.5341113929839237,0.4565497493158978,0.3973252773284912,1.0557944834232331,-0.5341113929839237,72,
BPI17,gemma-2-2b,llm,RT,prefix_length_bucket,1,43,1.217333966730769,2.108589512085891,0.961691588163376,2.2160912990570067,-1.1833914433400212,43,
BPI17,gemma-2-2b,llm,RT,prefix_length_bucket,11-20,545,1.1102080876372942,1.984094673903856,0.9227568209171296,2.231988754868508,-1.0747050698442864,525,
BPI17,gemma-2-2b,llm,RT,prefix_length_bucket,2,49,1.1464987019343036,1.9950295663715536,1.133426308631897,2.1467445850372315,-1.12321327360613,49,
BPI17,gemma-2-2b,llm,RT,prefix_length_bucket,21-50,836,0.5708201206503681,0.6859782832020056,0.3351666331291199,1.524548590183258,-0.5467284017448029,769,
